comparison_file,instance_id,repo,condition,replication_index,event_count_clean,first_edit_event_index_clean,bootstrap_event_count_clean,bootstrap_command_count_clean,bootstrap_failed_command_count_clean,bootstrap_test_command_count_clean,bootstrap_failed_test_command_count_clean,execution_event_count_clean,execution_command_count_clean,execution_failed_command_count_clean,execution_test_command_count_clean,execution_failed_test_command_count_clean,total_command_count_clean,total_test_command_count_clean,total_failed_test_command_count_clean,event_count_degraded,first_edit_event_index_degraded,bootstrap_event_count_degraded,bootstrap_command_count_degraded,bootstrap_failed_command_count_degraded,bootstrap_test_command_count_degraded,bootstrap_failed_test_command_count_degraded,execution_event_count_degraded,execution_command_count_degraded,execution_failed_command_count_degraded,execution_test_command_count_degraded,execution_failed_test_command_count_degraded,total_command_count_degraded,total_test_command_count_degraded,total_failed_test_command_count_degraded,event_count_delta,first_edit_event_index_delta,bootstrap_event_count_delta,bootstrap_command_count_delta,bootstrap_failed_command_count_delta,bootstrap_test_command_count_delta,bootstrap_failed_test_command_count_delta,execution_event_count_delta,execution_command_count_delta,execution_failed_command_count_delta,execution_test_command_count_delta,execution_failed_test_command_count_delta,total_command_count_delta,total_test_command_count_delta,total_failed_test_command_count_delta,clean_success_degraded_failure,pass_to_pass_damage,baseline_hard,total_tokens_corrected_delta,changed_file_count_delta
psf_requests-1921_comments_docstrings_rep_2_oracle_comparison.json,psf__requests-1921,psf/requests,comments_docstrings,2,60,24,24,9,1,0,0,36,9,1,2,1,18,2,1,53,29,29,12,1,0,0,24,7,1,2,1,19,2,1,-7,5,5,3,0,0,0,-12,-2,0,0,0,1,0,0,False,False,False,-95490,0
psf_requests-1921_remove_tests_rep_3_oracle_comparison.json,psf__requests-1921,psf/requests,remove_tests,3,65,26,26,10,0,0,0,39,12,1,4,1,22,4,1,39,24,24,9,0,0,0,15,5,0,0,0,14,0,0,-26,-2,-2,-1,0,0,0,-24,-7,-1,-4,-1,-8,-4,-1,False,False,False,-465673,0
psf_requests-1921_type_hints_rep_1_oracle_comparison.json,psf__requests-1921,psf/requests,type_hints,1,51,24,24,9,0,0,0,27,8,2,3,2,17,3,2,46,23,23,9,1,0,0,23,6,1,2,1,15,2,1,-5,-1,-1,0,1,0,0,-4,-2,-1,-1,-1,-2,-1,-1,False,False,True,-32786,0
matplotlib_matplotlib-20676_naming_rep_0_oracle_comparison.json,matplotlib__matplotlib-20676,matplotlib/matplotlib,naming,0,61,34,34,14,0,0,0,27,8,2,3,2,22,3,2,71,38,38,16,2,0,0,33,10,2,2,2,26,2,2,10,4,4,2,2,0,0,6,2,0,-1,0,4,-1,0,False,True,True,426868,20
matplotlib_matplotlib-20676_comments_docstrings_rep_2_oracle_comparison.json,matplotlib__matplotlib-20676,matplotlib/matplotlib,comments_docstrings,2,62,40,40,17,1,0,0,22,7,1,2,1,24,2,1,90,30,30,12,1,0,0,60,22,5,5,3,34,5,3,28,-10,-10,-5,0,0,0,38,15,4,3,2,10,3,2,False,False,True,1111918,8
matplotlib_matplotlib-20676_remove_tests_rep_3_oracle_comparison.json,matplotlib__matplotlib-20676,matplotlib/matplotlib,remove_tests,3,83,44,44,19,2,0,0,39,12,2,4,2,31,4,2,69,43,43,18,1,0,0,26,8,1,2,1,26,2,1,-14,-1,-1,-1,-1,0,0,-13,-4,-1,-2,-1,-5,-2,-1,False,False,True,-313381,8
matplotlib_matplotlib-20676_type_hints_rep_1_oracle_comparison.json,matplotlib__matplotlib-20676,matplotlib/matplotlib,type_hints,1,83,48,48,21,3,0,0,35,11,2,5,2,32,5,2,69,40,40,17,0,0,0,29,10,2,4,2,27,4,2,-14,-8,-8,-4,-3,0,0,-6,-1,0,-1,0,-5,-1,0,False,False,True,-146668,8
matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,matplotlib__matplotlib-23412,matplotlib/matplotlib,naming,0,62,35,35,15,0,0,0,27,6,2,4,2,21,4,2,110,47,47,20,0,0,0,63,19,5,8,5,39,8,5,48,12,12,5,0,0,0,36,13,3,4,3,18,4,3,True,True,False,1302387,34
matplotlib_matplotlib-23412_type_hints_rep_1_oracle_comparison.json,matplotlib__matplotlib-23412,matplotlib/matplotlib,type_hints,1,67,33,33,14,0,0,0,34,12,0,2,0,26,2,0,74,32,32,13,0,0,0,42,13,1,4,1,26,4,1,7,-1,-1,-1,0,0,0,8,1,1,2,1,0,2,1,False,False,False,-6648,8
matplotlib_matplotlib-23412_comments_docstrings_rep_2_oracle_comparison.json,matplotlib__matplotlib-23412,matplotlib/matplotlib,comments_docstrings,2,68,37,37,16,0,0,0,31,9,1,3,1,25,3,1,81,42,42,18,0,0,0,39,13,3,3,1,31,3,1,13,5,5,2,0,0,0,8,4,2,0,0,6,0,0,False,False,False,18739,8
matplotlib_matplotlib-23412_remove_tests_rep_3_oracle_comparison.json,matplotlib__matplotlib-23412,matplotlib/matplotlib,remove_tests,3,70,25,25,10,0,0,0,45,15,1,4,1,25,4,1,86,41,41,18,0,0,0,45,13,2,4,2,31,4,2,16,16,16,8,0,0,0,0,-2,1,0,1,6,0,1,False,False,False,194785,8
matplotlib_matplotlib-26291_naming_rep_0_oracle_comparison.json,matplotlib__matplotlib-26291,matplotlib/matplotlib,naming,0,49,23,23,9,2,0,0,26,7,0,2,0,16,2,0,49,26,26,10,1,0,0,23,7,0,2,0,17,2,0,0,3,3,1,-1,0,0,-3,0,0,0,0,1,0,0,False,False,False,289762,8
matplotlib_matplotlib-26291_type_hints_rep_1_oracle_comparison.json,matplotlib__matplotlib-26291,matplotlib/matplotlib,type_hints,1,48,26,26,10,2,0,0,22,7,0,2,0,17,2,0,44,24,24,9,1,0,0,20,6,0,1,0,15,1,0,-4,-2,-2,-1,-1,0,0,-2,-1,0,-1,0,-2,-1,0,False,False,False,-15770,8
matplotlib_matplotlib-26291_comments_docstrings_rep_2_oracle_comparison.json,matplotlib__matplotlib-26291,matplotlib/matplotlib,comments_docstrings,2,49,22,22,8,1,0,0,27,9,0,2,0,17,2,0,47,26,26,10,1,0,0,21,7,0,2,0,17,2,0,-2,4,4,2,0,0,0,-6,-2,0,0,0,0,0,0,False,False,False,-2,8
matplotlib_matplotlib-26291_remove_tests_rep_3_oracle_comparison.json,matplotlib__matplotlib-26291,matplotlib/matplotlib,remove_tests,3,41,19,19,7,0,0,0,22,7,0,3,0,14,3,0,58,32,32,13,4,0,0,26,9,1,2,0,22,2,0,17,13,13,6,4,0,0,4,2,1,-1,0,8,-1,0,False,False,False,358627,8
pylint-dev_pylint-4970_naming_rep_0_oracle_comparison.json,pylint-dev__pylint-4970,pylint-dev/pylint,naming,0,56,38,38,16,1,0,0,18,5,1,1,0,21,1,0,94,67,67,30,1,0,0,27,8,1,2,1,38,2,1,38,29,29,14,0,0,0,9,3,0,1,1,17,1,1,False,False,True,617191,0
pylint-dev_pylint-4970_type_hints_rep_1_oracle_comparison.json,pylint-dev__pylint-4970,pylint-dev/pylint,type_hints,1,73,40,40,17,0,0,0,33,11,1,2,1,28,2,1,68,39,39,17,0,0,0,29,9,1,2,1,26,2,1,-5,-1,-1,0,0,0,0,-4,-2,0,0,0,-2,0,0,False,False,True,-348794,0
pylint-dev_pylint-4970_comments_docstrings_rep_2_oracle_comparison.json,pylint-dev__pylint-4970,pylint-dev/pylint,comments_docstrings,2,62,35,35,15,0,0,0,27,8,0,2,0,23,2,0,83,42,42,18,0,0,0,41,14,2,3,2,32,3,2,21,7,7,3,0,0,0,14,6,2,1,2,9,1,2,False,False,True,442146,-1
pylint-dev_pylint-4970_remove_tests_rep_3_oracle_comparison.json,pylint-dev__pylint-4970,pylint-dev/pylint,remove_tests,3,68,52,52,23,0,0,0,16,4,0,2,0,27,2,0,48,33,33,14,0,0,0,15,3,0,1,0,17,1,0,-20,-19,-19,-9,0,0,0,-1,-1,0,-1,0,-10,-1,0,False,False,True,-457104,1
pylint-dev_pylint-6903_naming_rep_0_oracle_comparison.json,pylint-dev__pylint-6903,pylint-dev/pylint,naming,0,40,23,23,9,0,0,0,17,4,0,2,0,13,2,0,59,28,28,11,0,0,0,31,10,1,2,1,21,2,1,19,5,5,2,0,0,0,14,6,1,0,1,8,0,1,False,False,False,156967,3
pylint-dev_pylint-6903_type_hints_rep_1_oracle_comparison.json,pylint-dev__pylint-6903,pylint-dev/pylint,type_hints,1,61,25,25,10,0,1,0,36,12,0,4,0,22,5,0,52,25,25,10,0,0,0,27,7,1,3,1,17,3,1,-9,0,0,0,0,-1,0,-9,-5,1,-1,1,-5,-2,1,False,False,False,-34395,3
pylint-dev_pylint-6903_comments_docstrings_rep_2_oracle_comparison.json,pylint-dev__pylint-6903,pylint-dev/pylint,comments_docstrings,2,51,27,27,11,0,0,0,24,7,0,2,0,18,2,0,66,28,28,11,0,0,0,38,10,1,3,1,21,3,1,15,1,1,0,0,0,0,14,3,1,1,1,3,1,1,False,False,False,211963,3
pylint-dev_pylint-6903_remove_tests_rep_3_oracle_comparison.json,pylint-dev__pylint-6903,pylint-dev/pylint,remove_tests,3,62,22,22,8,0,0,0,40,14,0,3,0,22,3,0,52,26,26,10,0,0,0,26,8,0,3,0,18,3,0,-10,4,4,2,0,0,0,-14,-6,0,0,0,-4,0,0,False,False,False,-179190,2
pylint-dev_pylint-4604_naming_rep_0_oracle_comparison.json,pylint-dev__pylint-4604,pylint-dev/pylint,naming,0,75,46,46,20,1,0,0,29,10,0,2,0,30,2,0,67,31,31,13,0,0,0,36,13,0,4,0,26,4,0,-8,-15,-15,-7,-1,0,0,7,3,0,2,0,-4,2,0,False,False,True,316627,1
pylint-dev_pylint-4604_type_hints_rep_1_oracle_comparison.json,pylint-dev__pylint-4604,pylint-dev/pylint,type_hints,1,70,25,25,10,1,0,0,45,14,0,4,0,24,4,0,53,29,29,12,2,0,0,24,8,0,2,0,20,2,0,-17,4,4,2,1,0,0,-21,-6,0,-2,0,-4,-2,0,False,False,True,-543644,0
pylint-dev_pylint-4604_comments_docstrings_rep_2_oracle_comparison.json,pylint-dev__pylint-4604,pylint-dev/pylint,comments_docstrings,2,53,31,31,13,0,0,0,22,7,0,1,0,20,1,0,57,35,35,15,1,0,0,22,7,0,1,0,22,1,0,4,4,4,2,1,0,0,0,0,0,0,0,2,0,0,False,False,True,33543,2
pylint-dev_pylint-4604_remove_tests_rep_3_oracle_comparison.json,pylint-dev__pylint-4604,pylint-dev/pylint,remove_tests,3,60,42,42,18,3,0,0,18,5,0,1,0,23,1,0,56,40,40,17,1,0,0,16,4,0,1,0,21,1,0,-4,-2,-2,-1,-2,0,0,-2,-1,0,0,0,-2,0,0,False,False,True,44855,1
scikit-learn_scikit-learn-25232_type_hints_rep_1_oracle_comparison.json,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,type_hints,1,62,33,33,14,0,0,0,29,9,0,3,0,23,3,0,79,39,39,17,0,0,0,40,14,0,3,0,31,3,0,17,6,6,3,0,0,0,11,5,0,0,0,8,0,0,False,False,False,-6629,0
scikit-learn_scikit-learn-25232_comments_docstrings_rep_2_oracle_comparison.json,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,comments_docstrings,2,53,34,34,14,0,0,0,19,5,0,2,0,19,2,0,72,39,39,17,0,0,0,33,10,1,3,1,27,3,1,19,5,5,3,0,0,0,14,5,1,1,1,8,1,1,False,False,False,41758,0
scikit-learn_scikit-learn-25232_remove_tests_rep_3_oracle_comparison.json,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,remove_tests,3,86,53,53,24,0,0,0,33,10,0,4,0,34,4,0,70,36,36,15,1,0,0,34,11,0,4,0,26,4,0,-16,-17,-17,-9,1,0,0,1,1,0,0,0,-8,0,0,False,False,False,-441090,1
scikit-learn_scikit-learn-25931_naming_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,naming,0,46,19,19,7,0,0,0,27,8,0,3,0,15,3,0,59,23,23,9,0,0,0,36,11,1,3,1,20,3,1,13,4,4,2,0,0,0,9,3,1,0,1,5,0,1,True,True,False,244183,0
scikit-learn_scikit-learn-25931_type_hints_rep_1_oracle_comparison.json,scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,type_hints,1,45,23,23,9,0,0,0,22,7,0,1,0,16,1,0,49,23,23,9,0,0,0,26,7,0,2,0,16,2,0,4,0,0,0,0,0,0,4,0,0,1,0,0,1,0,False,False,False,-35887,0
scikit-learn_scikit-learn-25931_comments_docstrings_rep_2_oracle_comparison.json,scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,comments_docstrings,2,46,23,23,9,0,0,0,23,6,0,2,0,15,2,0,66,23,23,9,0,0,0,43,15,1,4,0,24,4,0,20,0,0,0,0,0,0,20,9,1,2,0,9,2,0,False,False,False,258612,0
scikit-learn_scikit-learn-25931_remove_tests_rep_3_oracle_comparison.json,scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,remove_tests,3,49,23,23,9,0,0,0,26,8,0,3,0,17,3,0,58,17,17,6,0,0,0,41,14,0,3,0,20,3,0,9,-6,-6,-3,0,0,0,15,6,0,0,0,3,0,0,False,False,False,112112,0
scikit-learn_scikit-learn-25973_naming_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,naming,0,50,33,33,14,0,0,0,17,4,0,1,0,18,1,0,57,29,29,12,0,0,0,28,8,1,3,1,20,3,1,7,-4,-4,-2,0,0,0,11,4,1,2,1,2,2,1,False,False,False,202126,0
scikit-learn_scikit-learn-25973_type_hints_rep_1_oracle_comparison.json,scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,type_hints,1,55,35,35,15,0,0,0,20,6,0,1,0,21,1,0,52,32,32,13,0,0,0,20,6,0,1,0,19,1,0,-3,-3,-3,-2,0,0,0,0,0,0,0,0,-2,0,0,False,False,False,-25446,0
scikit-learn_scikit-learn-25973_comments_docstrings_rep_2_oracle_comparison.json,scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,comments_docstrings,2,61,40,40,17,0,0,0,21,6,0,2,0,23,2,0,48,27,27,11,0,0,0,21,6,0,1,0,17,1,0,-13,-13,-13,-6,0,0,0,0,0,0,-1,0,-6,-1,0,False,False,False,53988,0
scikit-learn_scikit-learn-25973_remove_tests_rep_3_oracle_comparison.json,scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,remove_tests,3,62,30,30,12,0,0,0,32,10,0,2,0,22,2,0,80,34,34,14,2,0,0,46,16,0,2,0,30,2,0,18,4,4,2,2,0,0,14,6,0,0,0,8,0,0,False,False,False,371229,0
astropy_astropy-14365_naming_rep_0_oracle_comparison.json,astropy__astropy-14365,astropy/astropy,naming,0,41,19,19,7,0,0,0,22,6,1,2,1,13,2,1,28,17,17,6,0,0,0,11,3,0,1,0,9,1,0,-13,-2,-2,-1,0,0,0,-11,-3,-1,-1,-1,-4,-1,-1,False,False,True,-242065,0
astropy_astropy-14365_type_hints_rep_1_oracle_comparison.json,astropy__astropy-14365,astropy/astropy,type_hints,1,34,20,20,7,0,0,0,14,3,0,1,0,10,1,0,55,30,30,12,0,0,0,25,7,1,2,1,19,2,1,21,10,10,5,0,0,0,11,4,1,1,1,9,1,1,False,False,True,223237,0
astropy_astropy-14365_comments_docstrings_rep_2_oracle_comparison.json,astropy__astropy-14365,astropy/astropy,comments_docstrings,2,41,21,21,8,0,0,0,20,6,0,1,0,14,1,0,52,22,22,8,0,0,0,30,10,1,1,1,18,1,1,11,1,1,0,0,0,0,10,4,1,0,1,4,0,1,False,True,True,126758,0
astropy_astropy-14365_remove_tests_rep_3_oracle_comparison.json,astropy__astropy-14365,astropy/astropy,remove_tests,3,41,22,22,8,0,0,0,19,5,0,1,0,13,1,0,51,30,30,12,0,0,0,21,7,1,2,1,19,2,1,10,8,8,4,0,0,0,2,2,1,1,1,6,1,1,False,False,True,87521,-1
astropy_astropy-14182_naming_rep_0_oracle_comparison.json,astropy__astropy-14182,astropy/astropy,naming,0,41,19,19,7,0,0,0,22,6,0,2,0,13,2,0,57,23,23,9,0,0,0,34,10,1,2,1,19,2,1,16,4,4,2,0,0,0,12,4,1,0,1,6,0,1,True,False,False,311568,0
astropy_astropy-14182_type_hints_rep_1_oracle_comparison.json,astropy__astropy-14182,astropy/astropy,type_hints,1,49,19,19,7,0,0,0,30,10,0,2,0,17,2,0,65,25,25,10,0,0,0,40,13,0,2,0,23,2,0,16,6,6,3,0,0,0,10,3,0,0,0,6,0,0,False,False,False,276146,0
astropy_astropy-14182_comments_docstrings_rep_2_oracle_comparison.json,astropy__astropy-14182,astropy/astropy,comments_docstrings,2,46,25,25,10,0,0,0,21,6,0,2,0,16,2,0,61,25,25,10,0,0,0,36,11,2,3,1,21,3,1,15,0,0,0,0,0,0,15,5,2,1,1,5,1,1,False,False,False,99260,0
astropy_astropy-14182_remove_tests_rep_3_oracle_comparison.json,astropy__astropy-14182,astropy/astropy,remove_tests,3,44,19,19,7,0,0,0,25,8,0,1,0,15,1,0,62,25,25,10,0,0,0,37,11,1,6,1,21,6,1,18,6,6,3,0,0,0,12,3,1,5,1,6,5,1,False,False,False,187209,0
astropy_astropy-14539_naming_rep_0_oracle_comparison.json,astropy__astropy-14539,astropy/astropy,naming,0,41,21,21,8,1,0,0,20,7,0,2,0,15,2,0,80,23,23,9,0,0,0,57,22,2,4,1,31,4,1,39,2,2,1,-1,0,0,37,15,2,2,1,16,2,1,False,False,False,1323511,0
astropy_astropy-14539_type_hints_rep_1_oracle_comparison.json,astropy__astropy-14539,astropy/astropy,type_hints,1,56,32,32,13,1,0,0,24,8,0,2,0,21,2,0,45,23,23,9,2,0,0,22,7,0,2,0,16,2,0,-11,-9,-9,-4,1,0,0,-2,-1,0,0,0,-5,0,0,False,False,False,-104272,0
astropy_astropy-14539_comments_docstrings_rep_2_oracle_comparison.json,astropy__astropy-14539,astropy/astropy,comments_docstrings,2,41,19,19,7,1,0,0,22,7,0,2,0,14,2,0,43,21,21,8,0,0,0,22,7,0,2,0,15,2,0,2,2,2,1,-1,0,0,0,0,0,0,0,1,0,0,False,False,False,-22507,0
astropy_astropy-14539_remove_tests_rep_3_oracle_comparison.json,astropy__astropy-14539,astropy/astropy,remove_tests,3,37,17,17,6,0,0,0,20,6,0,2,0,12,2,0,34,19,19,7,1,0,0,15,4,0,1,0,11,1,0,-3,2,2,1,1,0,0,-5,-2,0,-1,0,-1,-1,0,False,False,False,-53461,0
